[*] '/home/llt/UNIX/lab3/lab03_pub/chals'
    Arch:     amd64-64-little
    RELRO:    Full RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
main = 0x107a9
Func         GOT      Address 
code_87      18f28    10574   
code_977     18f30    10584   
code_1202    18f38    10594   
code_179     18f40    105a4   
code_971     18f48    105b4   
code_134     18f50    105c4   
code_584     18f58    105d4   
code_1180    18f60    105e4   
code_1200    18f68    105f4   
code_132     18f70    10604   
code_545     18f78    10614   
code_508     18f80    10624   
code_543     18f88    10634   
code_443     18f90    10644   
code_406     18f98    10654   
code_1117    18fa0    10664   
code_81      18fa8    10674   
code_173     18fb0    10684   
code_1476    18fb8    10694   
code_171     18fc0    106a4   
code_688     18fc8    106b4   
